Owner,Contact,Where I Live,Investor Name,Firm,Year Joined Firm,Current Fund Size,Current Fund Vintage,Company Stage,Where I Invest,Typical Check Size,Sectors I Focus On,Select Past Investments,Probably Wouldn't Invest,Notes
,,,Rachel Haot,1776,2016,$12.5M,2014,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global",$0-$250K,"AI / ML, Bitcoin / Blockchain, Clean-Tech / Energy, Ed-Tech, Enterprise / SaaS, Fin-Tech, Health-Tech, Marketplaces, Real Estate, Robotics / Drones, Security, Transportation, VR / AR",Twiga Foods,"adtech, media",Specialize in heavily regulated industries--but not govtech to be clear
,,,Alex Zubillaga,14W,2010,N/A,N/A,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$1-$3M, $3-$10M, $10M+","Consumer, E-Commerce, Entertainment / Gaming / Sports, Fin-Tech, Marketplaces, Media / Publishing, Mobile","Letgo, Everlane, Outdoor Voices, Reformation, Glossier, Raden, Wallapop, Treatwell, ","Enterprise, Biotech",
JB,,NYC,Nnamdi Okike,645 Ventures,2013,$25M,2014,"Seed, Series A","NYC, SFBA","$0-$250K, $250-$500K","Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, Infrastructure, VR / AR","Goldbely, Iterable, LeagueApps, ALICE, Rifiniti, MMLaFleur","We don't typically invest pre-launch; we also focus exclusively on software, software-enabled, and Internet companies",
JB,,NYC,Aaron Holiday,645 Ventures,2014,$25M,2014,"Seed, Series A","NYC, SFBA","$0-$250K, $250-$500K","Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, Infrastructure, VR / AR","Fly Labs, Nanit, Fiscal Note, Goldbely, Source3, MergeVR, Iterable",,
MP,,NYC,Jason Ostheimer,Advancit Capital,2011,$40M,2016,"Seed,Series A","NYC, SFBA, US, Global",$500K-$1M,"Entertainment / Gaming / Sports, Media / Publishing",,,
MP,,NYC,Jonathan Miller,Advancit Capital,,$40M,2016,"Seed,Series A","NYC, SFBA, US, Global",$500K-$1M,"Entertainment / Gaming / Sports, Media / Publishing",,,
MP,,NYC,Shari Redstone,Advancit Capital,2011,$40M,2016,"Seed,Series A","NYC, SFBA, US, Global",$500K-$1M,"Entertainment / Gaming / Sports, Media / Publishing",,,
MP,,NYC,Steve Brotman,Alpha Ventures Partners,2014,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response
MP,,NYC,Claudia Iannazzo,AlphaPrime Ventures,2016,n/a,n/a,"Seed, Series A",US,"$0-$250K, $250-$500K, $500K-$1M, $3M-$10M",Security,"Socure, Canary",,
MP,,NYC,Alessandro Piol,AlphaPrime Ventures,2013,n/a,n/a,"Seed, Series A",US,"$0-$250K, $250-$500K, $500K-$1M,$3M-$10M",Security,"Socure, Canary",,
